timestamp;name;open;high;low;close;volume;marketCap;MA;12_week_MA
2021-01-10;2781.0;1.84125965;2.49585597;0.82049608;0.99515301;25886113.88;0.0;;
2021-01-17;2781.0;0.99516404;1.16287878;0.77379392;0.84132655;1835595.57;0.0;;
2021-01-24;2781.0;0.84127483;1.14320434;0.58856309;0.91166608;2518887.18;8073605.43;0.9160485466666667;
2021-01-31;2781.0;0.91140799;2.39793667;0.91006046;1.98935151;45520555.27;17617458.24;1.2474480466666666;
2021-02-07;2781.0;1.98934481;3.27525437;1.74611982;2.50029757;23591684.89;22136675.02;1.8004383866666667;
2021-02-14;2781.0;2.50045983;2.75981473;2.07638864;2.47865966;14207581.78;21936260.69;2.32276958;
2021-02-21;2781.0;2.47867931;2.70084305;1.4896318;1.54186569;15469613.61;13645587.72;2.1736076399999997;
2021-02-28;2781.0;1.54184301;1.54184301;0.7727197;0.82525547;4802875.56;7303551.8;1.6152602733333332;
2021-03-07;2781.0;0.82526912;0.99323454;0.60223988;0.70290573;6937861.27;6220750.49;1.0233422966666668;
2021-03-14;2781.0;0.70292573;0.800739;0.53436668;0.60427481;2560307.16;5347861.97;0.7108120033333334;
2021-03-21;2781.0;0.60409167;0.7273338;0.54314535;0.55783504;3140410.05;4936867.75;0.62167186;
2021-03-28;2781.0;0.55809794;0.73913598;0.50954606;0.64012819;5025635.0;5665166.18;0.6007460133333333;1.2157266091666667
2021-04-04;2781.0;0.64012858;1.94270565;0.62447633;1.53472547;13041237.41;13582396.35;0.9108962333333332;1.2606909808333333
2021-04-11;2781.0;1.53437634;1.54305903;1.05043047;1.29430467;10135232.7;11454660.37;1.15638611;1.2984391575
2021-04-18;2781.0;1.29422815;1.32211677;0.89250577;0.95184193;9075400.82;8423848.17;1.26029069;1.3017871449999998
2021-04-25;2781.0;0.95248803;1.05766995;0.76200744;0.98655403;6146157.67;8731051.98;1.0775668766666666;1.2182206883333333
2021-05-02;2781.0;0.98669766;2.97540993;0.89536168;2.32647816;33634410.6;57090081.99;1.4216247066666667;1.2037357375
2021-05-09;2781.0;2.34089868;5.61155236;1.9990617;4.71771304;56090661.07;115769246.84;2.6769150766666665;1.3903235191666667
2021-05-16;2781.0;4.71960069;5.26767962;3.27158078;3.40415802;31951817.05;83535562.01;3.482783073333333;1.5455145466666667
2021-05-23;2781.0;3.40638242;4.12304014;1.17165234;1.67153773;42111835.64;41018320.23;3.2644695966666664;1.6160380683333333
2021-05-30;2781.0;1.67066662;2.891164;1.62204225;1.94726151;20589828.34;47784381.29;2.340985753333333;1.7197343833333332
2021-06-06;2781.0;1.94630259;2.46148041;1.79016148;2.11245009;14396031.12;51837988.83;1.910416443333333;1.8454156566666668
2021-06-13;2781.0;2.11279227;3.05580653;2.10333222;2.35533565;17189600.67;57798223.85;2.138349083333333;1.9952073741666665
2021-06-20;2781.0;2.35557697;2.6877121;1.74993206;1.92912646;11588825.19;47339360.19;2.132304066666666;2.1026238966666666
2021-06-27;2781.0;1.92911782;1.93215908;1.19926304;1.62456278;12884172.58;39865589.19;1.9696749633333328;2.1101103391666665
2021-07-04;2781.0;1.6246831;1.83866606;1.46120438;1.62737699;10044635.28;39934647.68;1.7270220766666664;2.1378663658333337
2021-07-11;2781.0;1.62770441;2.34274119;1.52090212;1.97247393;13717272.44;48403075.66;1.741471233333333;2.2229190325
2021-07-18;2781.0;1.97247646;1.98940603;1.44106802;1.4840356;323698677.7;36417154.37;1.6946288399999998;2.26437583
2021-07-25;2781.0;1.48376746;1.92136921;1.33772822;1.82632451;366360796.37;44816675.09;1.7609446799999997;2.2226963591666666
2021-08-01;2781.0;1.82630145;4.56630526;1.82105354;3.98515372;790959656.62;97792773.88;2.431837943333333;2.1616497491666666
2021-08-08;2781.0;3.98414472;5.52130864;3.20752694;4.36783826;1358634040.21;107183574.19;3.393105496666666;2.2419564358333335
2021-08-15;2781.0;4.36918083;5.22469287;3.95581433;4.83390336;1152205779.06;118620472.79;4.3956317799999995;2.5054869049999997
2021-08-22;2781.0;4.83322277;7.24427536;3.7750443;5.50676288;1363539629.53;135131955.93;4.902834833333333;2.802112019166667
2021-08-29;2781.0;5.50633352;6.49833657;5.26000537;5.95396889;1492858834.93;146106066.06;5.431545043333333;3.1222385858333332
2021-09-05;2781.0;5.95338052;5.97241517;4.63186016;4.8184153;1314052187.17;118240406.93;5.426382356666665;3.327495223333333
2021-09-12;2781.0;4.81746841;6.9555047;3.67000164;5.61461282;1359510666.78;137778514.96;5.462332336666666;3.634619086666666
2021-09-19;2781.0;5.61460857;6.3536128133;4.7985702503;5.6933035778;1488703325.12;139709529.01;5.375443899266666;3.9736808198166664
2021-09-26;2781.0;5.6935281877;5.7371003373;4.2796701519;5.2634958167;1345570944.49;129162359.15;5.5238040715;4.276690722041667
2021-10-03;2781.0;5.2634226492;5.4861272245;4.3190050595;4.7902843122;1332597853.84;117550093.0;5.249027902233333;4.511508253891667
2021-10-10;2781.0;4.7903880407;4.8578734148;3.6939521151;3.8582926906;1123274876.69;94679696.46;4.637357606499999;4.709363011441667
2021-10-17;2781.0;3.8584926937;4.4097808523;3.3109068881;3.5792634635;1040020547.85;87832522.16;4.0759468221;4.855441257566667
2021-10-24;2781.0;3.5792659211;4.1055383338;3.1280880459;3.4842567937;968602883.93;85501127.59;3.640604315933333;4.813699847041667
2021-10-31;2781.0;3.4840305012;3.6753826997;3.0519877635;3.2351745115;30463441.96;79388829.54;3.432898256233333;4.719311201333333
2021-11-07;2781.0;3.2350303005;4.2168531828;2.5274289582;4.067109948;43563106.25;99803920.08;3.5955137510666666;4.655411750333333
2021-11-14;2781.0;4.065250439;5.7178211305;3.4371223412;5.253739221;188406721.07;128922939.39;4.185341226833333;4.634326445416666
2021-11-21;2781.0;5.2545472632;5.3490550057;3.6564910628;4.3038868614;41333063.1;105614253.32;4.5415786767999995;4.4968196097
2021-11-28;2781.0;4.3026253974;4.3090643519;2.7572787846;3.8290552974;38141739.25;93962232.09;4.462227126599999;4.414372942816667
