timestamp;bnb_12_week_MA;bnb_marketCap;BTC_12_week_MA;BTC_marketCap;CRO_12_week_MA;CRO_marketCap;ETH_12_week_MA;ETH_marketCap;ICP_12_week_MA;ICP_marketCap;LDO_12_week_MA;LDO_marketCap;MATIC_12_week_MA;MATIC_marketCap;RUNE_12_week_MA;RUNE_marketCap;SAND_12_week_MA;SAND_marketCap;UNI_12_week_MA;UNI_marketCap
2021-08-01;356.3341626833333;56082037720.0;38819.4483926825;886869903602.64;0.12599635750000002;3894300633.69;2568.466650158334;402902770209.73;64.4081477525;5601144550.19;2.1616497491666666;97792773.88;1.2673302308333334;6761867778.07;8.174948859166665;1405722608.14;0.3872208283333334;414960617.09;22.028834481666667;12941271988.56
2021-09-01;357.91394705833335;78085988883.0;43017.566046289576;824619217607.52;0.14000403705;4017882360.35;2905.3565434932334;353421264860.04;52.28985701166667;12457122104.39;3.327495223333333;118240406.93;1.2302254708333333;11104723325.82;7.2130750358333335;2321188302.4;0.576334735;865511788.52;23.133097809166667;17960589699.37
2021-10-01;394.4752126;65078675600.0;46297.364279022964;1156485845063.1;0.15645286941666667;5323855117.54;3211.3228862356245;506663636947.23;55.12486760314167;8367621356.42;4.511508253891667;117550093.0;1.2628614881166667;8843328492.3;7.813603781208333;1960984134.2;0.7338506950666667;776671568.94;24.657414621516665;15905262491.68
2021-11-01;453.6180332166667;87464591883.0;52758.09772495578;1076689232562.09;0.2240475538583333;17441990754.11;3745.5027355844;549085770690.68;54.85260315364167;9419333483.51;4.655411750333333;99803920.08;1.4930566055916668;12853999197.08;10.129795296441666;3624778755.26;1.0215649438499999;2393462924.72;25.717384889191663;15908732558.18
2021-12-01;498.17629225833326;103862047714.0;55708.727341758226;875939356678.79;0.390911975875;14084371867.49;4137.689871052242;438128003490.89;45.523105635583335;5566238311.76;4.286836053283333;100222564.92;1.5741680233500002;14363566604.27;10.342357764658333;2023752865.95;2.3829902193666666;4958726003.89;23.607073379508336;10378935853.2
2022-01-01;551.7734250583334;85353536222.0;52973.95716619072;729073641687.68;0.5044119391;10838572853.97;4067.41242352785;320959888865.31;37.936546899425004;5210070133.99;3.6760116114333337;89958460.42;1.9678394989083332;18259576689.35;9.997241824133333;1907876320.44;4.060661100841666;5453462636.01;21.092136888558333;11522501073.32
2022-02-01;523.8345492083333;61964576590.0;44570.45841811553;819414782676.49;0.5162320628416667;11084598821.32;3362.840420841483;349638704203.76;29.31697211065;4680527998.06;2.957818022925;50414845.76;2.0368238815583335;12981893615.01;6.972577982850001;1609358382.19;5.1141223279;4296628999.77;16.159082269708332;7351082525.5
2022-03-01;444.7595523416667;65322240557.0;41945.01140384968;865202119215.74;0.45629966603333333;11630053244.59;2980.425684388492;394425928251.04;23.352074460916665;3471398955.34;2.2323446298916667;216777061.15;1.9275518502000002;10914235773.68;5.214615034166667;1545495690.52;4.331694138208333;3206395666.28;13.126090380208332;5833343642.67
2022-04-01;402.364734425;70821236650.0;42340.9915245472;717596901508.72;0.4361670636083333;8852407177.75;2966.533334552458;329245687214.6;20.376956209475;4883345990.83;2.373075812508333;497087733.38;1.6313338815750003;13102616373.19;5.968897787908333;3705746583.14;3.541161925366666;4093157053.72;10.873303243041667;8174101814.42
2022-05-01;400.3503629333334;61680787861.0;41198.85182607471;605797887876.49;0.39571528238333337;4779889007.61;2895.604207065125;235021820715.09;17.716528759050004;2945671390.7;2.7137272773416665;903696102.4;1.4586336899750003;8642885732.64;6.940570394800001;2122273925.47;3.0383346831249995;2503321741.43;9.486255181183333;4921944834.64
2022-06-01;381.98361974999995;52327838988.0;35056.92768640629;377526215552.49;0.28192785233333334;2898986080.18;2355.247652954067;129526314725.35;14.015882272675;1717000074.41;2.6142414981583335;324530224.92;1.1376567352583333;4757398372.57;6.592752690491667;933901123.73;2.345629353658333;1602858353.44;7.976612765658333;3662955509.31
2022-07-01;331.7510954;35806656572.0;28072.258532538242;445941074223.04;0.18692107665;3466072910.99;1760.2271795197832;204771722888.53;9.308014256308333;1268811950.19;1.5789878986916668;158595449.91;0.7732149073333333;3688244673.68;4.0104023512083335;644826592.26;1.5904251424416669;1311212067.99;6.004244286275;3607589189.01
2022-08-01;277.530363;45751935453.0;23288.14725661204;383710102294.98;0.13712249285833333;3083442092.15;1509.593560858825;189843590076.15;6.860679725108333;2053471234.53;1.208486758425;770664385.36;0.6518069893;7285073636.08;2.4326225179083334;919927427.02;1.19435608675;1692260693.54;5.9978661756;6551678761.49
2022-09-01;264.50492103333335;45051509129.0;21323.73110152176;372414733487.45;0.12612081391666666;2772197112.36;1507.0752153577332;162806430080.61;6.7818000974583335;1711903308.82;1.5545720707916668;642251926.59;0.7453814348916667;7763819651.46;2.2571902721083332;642493745.44;1.1416348910083334;1431738694.81;6.718547263416666;4825206870.84
2022-10-01;276.87786977499997;45850807479.0;20702.722632572782;393413045572.67;0.1211322612;2901216136.5;1511.9933936629416;192459145336.4;6.944297163775;1548631818.69;1.9296957719999999;449653778.58;0.8434426363333333;6675209425.46;2.1395219462666666;496228230.84;1.078875409375;1220656024.57;6.962889120866667;4766835265.09
2022-11-01;293.0319362166667;52210645189.0;19789.510072815978;329997633644.39;0.11023854028333334;1657739721.08;1464.878779929608;158558424120.23;5.888144841091666;1401101281.4;1.6715104969583334;493326975.64;0.851897310025;9939375600.37;1.703232136525;532877769.86;0.8785540641666666;1269994829.52;6.361379491558334;5398489366.32
